Alpha,SA7035_without_flap, , Alpha,SA7035_-10_flap, , Alpha,SA7035_-20_flap, , Alpha,SA7035_10_flap, , Alpha,SA7035_-10_flap, , 
         -4.9,    -0.3443584, ,            -5,    -0.6203884, ,          -4.9,    -0.8045855, ,            -5,   -0.08279401, ,            -5,     0.3097768, , 
         -4.8,    -0.3308396, ,          -4.9,    -0.6181599, ,          -4.8,    -0.8071874, ,          -4.9,   -0.07385362, ,          -4.9,     0.3298648, , 
         -4.7,    -0.3164091, ,          -4.8,     -0.615751, ,          -4.7,    -0.8100081, ,          -4.7,   -0.03909038, ,          -4.8,     0.3453162, , 
         -4.6,    -0.3009088, ,          -4.7,     -0.613233, ,          -4.6,    -0.8133149, ,          -4.6,   -0.02330291, ,          -4.7,     0.3617934, , 
         -4.5,    -0.2852995, ,          -4.6,    -0.6106511, ,          -4.5,    -0.8166448, ,          -4.5,  -0.008120018, ,          -4.6,     0.3743966, , 
           -4,     -0.208578, ,          -4.5,    -0.6077094, ,          -4.4,    -0.8204178, ,          -4.4,   0.006762468, ,          -4.5,     0.3880089, , 
         -3.9,    -0.1896847, ,          -4.4,    -0.6042031, ,          -4.3,    -0.8243627, ,          -4.3,    0.02146141, ,          -4.4,     0.4005522, , 
         -3.8,    -0.1713059, ,          -4.3,    -0.6005928, ,          -4.2,    -0.8283936, ,          -4.2,    0.03599678, ,          -4.3,      0.412704, , 
         -3.7,    -0.1601079, ,          -4.2,    -0.5967829, ,          -4.1,    -0.8325366, ,          -4.1,    0.05021443, ,          -4.2,     0.4226989, , 
         -3.6,    -0.1471351, ,          -4.1,    -0.5927314, ,            -4,    -0.8366747, ,            -4,      0.070597, ,          -4.1,     0.4347938, , 
         -3.5,    -0.1328007, ,            -4,    -0.5883517, ,          -3.9,    -0.8408683, ,          -3.9,    0.09473755, ,            -4,     0.4480603, , 
         -3.4,    -0.1177286, ,          -3.9,    -0.5832154, ,          -3.8,    -0.8453997, ,          -3.8,      0.116932, ,          -3.9,     0.4599195, , 
         -3.3,    -0.1019756, ,          -3.8,    -0.5757274, ,          -3.7,     -0.848338, ,          -3.7,     0.1394627, ,          -3.8,     0.4722104, , 
         -3.2,     -0.085669, ,          -3.7,    -0.5623446, ,          -3.6,    -0.8507736, ,          -3.6,     0.1600521, ,          -3.7,     0.4794708, , 
         -3.1,   -0.06883088, ,          -3.5,    -0.5503514, ,          -3.5,    -0.8528445, ,          -3.5,     0.1831065, ,          -3.6,     0.4927975, , 
           -3,   -0.05136292, ,          -3.4,    -0.5599368, ,          -3.4,    -0.8545945, ,          -3.4,     0.2051647, ,          -3.5,     0.5063026, , 
         -2.9,   -0.03333476, ,          -3.3,    -0.5534581, ,          -3.3,    -0.8560397, ,          -3.3,     0.2267347, ,          -3.4,     0.5191828, , 
         -2.8,   -0.02306027, ,          -3.2,    -0.5468172, ,          -3.2,    -0.8571567, ,          -3.2,     0.2428726, ,          -3.3,     0.5323564, , 
         -2.7,  -0.009290222, ,          -3.1,    -0.5401798, ,          -3.1,    -0.8580102, ,          -3.1,     0.2591411, ,          -3.2,     0.5366103, , 
         -2.6,   0.006374716, ,            -3,    -0.5334461, ,            -3,    -0.8700318, ,            -3,     0.2746369, ,          -3.1,     0.5507535, , 
         -2.5,    0.02246983, ,          -2.9,    -0.5262491, ,          -2.9,    -0.8775607, ,          -2.9,     0.2911808, ,            -3,     0.5659516, , 
         -2.4,    0.03878661, ,          -2.8,    -0.5180713, ,          -2.8,    -0.8798936, ,          -2.7,     0.3162111, ,          -2.9,     0.5824007, , 
